file_type,sra_name,guid,fq1,fq2
ebi,ERR251761,,,
ebi,ERR251762,,,
ebi,ERR251763,,,
ebi,ERR251764,,,
ebi,ERR251765,,,
ebi,ERR251766,,,
ebi,ERR251767,,,
ebi,ERR251768,,,
ebi,ERR251769,,,
ebi,ERR251770,,,
ebi,ERR251771,,,
ebi,ERR251772,,,
ebi,ERR251773,,,
ebi,ERR251774,,,
ebi,ERR251775,,,
ebi,ERR251776,,,
ebi,ERR251777,,,
ebi,ERR251778,,,
ebi,ERR251779,,,
ebi,ERR251780,,,
ebi,ERR251781,,,
ebi,ERR251782,,,
ebi,ERR251783,,,
ebi,ERR251784,,,
ebi,ERR251785,,,
ebi,ERR251786,,,
ebi,ERR251787,,,
ebi,ERR251788,,,
ebi,ERR251789,,,
ebi,ERR251790,,,
ebi,ERR251791,,,
ebi,ERR251792,,,
ebi,ERR251793,,,
ebi,ERR251794,,,
ebi,ERR251795,,,
ebi,ERR251796,,,
ebi,ERR251797,,,
ebi,ERR251798,,,
ebi,ERR251799,,,
ebi,ERR251800,,,
ebi,ERR251801,,,
ebi,ERR251802,,,
ebi,ERR251803,,,
ebi,ERR251804,,,
ebi,ERR251805,,,
ebi,ERR251806,,,
ebi,ERR251807,,,
ebi,ERR251808,,,
ebi,ERR251809,,,
ebi,ERR251810,,,
ebi,ERR251811,,,
ebi,ERR251812,,,
ebi,ERR251813,,,
ebi,ERR251814,,,
ebi,ERR251815,,,
ebi,ERR251816,,,
ebi,ERR251817,,,
ebi,ERR251818,,,
ebi,ERR251819,,,
ebi,ERR251820,,,
ebi,ERR251821,,,
ebi,ERR251822,,,
ebi,ERR251823,,,
ebi,ERR251824,,,
ebi,ERR251825,,,
ebi,ERR251826,,,
ebi,ERR251827,,,
ebi,ERR251828,,,
ebi,ERR251829,,,
ebi,ERR251830,,,
ebi,ERR251831,,,
ebi,ERR251832,,,
ebi,ERR251833,,,
ebi,ERR251834,,,
ebi,ERR251835,,,
ebi,ERR251836,,,
ebi,ERR251837,,,
ebi,ERR251838,,,
ebi,ERR251839,,,
ebi,ERR251840,,,
ebi,ERR251841,,,
ebi,ERR251842,,,
ebi,ERR251843,,,
ebi,ERR251844,,,
ebi,ERR251845,,,
ebi,ERR251846,,,
ebi,ERR251847,,,
ebi,ERR251848,,,
ebi,ERR251849,,,
ebi,ERR251850,,,
ebi,ERR251851,,,
ebi,ERR251852,,,
ebi,ERR251853,,,
ebi,ERR251854,,,
ebi,ERR251855,,,
ebi,ERR251856,,,
ebi,ERR251857,,,
ebi,ERR251858,,,
ebi,ERR251859,,,
ebi,ERR251860,,,
ebi,ERR251861,,,
ebi,ERR251862,,,
ebi,ERR251863,,,
ebi,ERR251864,,,
ebi,ERR251865,,,
ebi,ERR251866,,,
ebi,ERR251867,,,
ebi,ERR251868,,,
ebi,ERR251869,,,
ebi,ERR251870,,,
ebi,ERR251871,,,
ebi,ERR251872,,,
ebi,ERR277249,,,
ebi,ERR277250,,,
ebi,ERR277251,,,
ebi,ERR277252,,,
ebi,ERR277253,,,
ebi,ERR277254,,,
ebi,ERR277255,,,
ebi,ERR277256,,,
ebi,ERR277257,,,
ebi,ERR277258,,,
ebi,ERR277259,,,
ebi,ERR277260,,,
ebi,ERR277261,,,
ebi,ERR277262,,,
ebi,ERR277263,,,
ebi,ERR277264,,,
ebi,ERR277265,,,
ebi,ERR277266,,,
ebi,ERR277267,,,
ebi,ERR277268,,,
ebi,ERR277269,,,
ebi,ERR277270,,,
ebi,ERR277271,,,
ebi,ERR277272,,,
ebi,ERR232375,,,
ebi,ERR232377,,,
ebi,ERR232386,,,
ebi,ERR232388,,,
ebi,ERR272201,,,
ebi,ERR272202,,,
ebi,ERR272203,,,
ebi,ERR272204,,,
ebi,ERR272205,,,
ebi,ERR272206,,,
ebi,ERR272239,,,
ebi,ERR272243,,,
ebi,ERR272244,,,
ebi,ERR272245,,,
ebi,ERR272246,,,
ebi,ERR272256,,,
ebi,ERR272257,,,
ebi,ERR272058,,,
ebi,ERR272059,,,
ebi,ERR272067,,,
ebi,ERR272068,,,
ebi,ERR272069,,,
ebi,ERR272070,,,
ebi,ERR272073,,,
ebi,ERR272074,,,
ebi,ERR272076,,,
ebi,ERR272077,,,
ebi,ERR272088,,,
ebi,ERR272089,,,
ebi,ERR272091,,,
ebi,ERR272092,,,
ebi,ERR272093,,,
ebi,ERR272094,,,
ebi,ERR272095,,,
ebi,ERR272096,,,
ebi,ERR272097,,,
ebi,ERR272098,,,
ebi,ERR272099,,,
ebi,ERR272100,,,
ebi,ERR272102,,,
ebi,ERR272103,,,
ebi,ERR272104,,,
ebi,ERR272105,,,
ebi,ERR272106,,,
ebi,ERR272107,,,
ebi,ERR272108,,,
ebi,ERR272109,,,
ebi,ERR272110,,,
ebi,ERR272111,,,
ebi,ERR272112,,,
ebi,ERR272113,,,
ebi,ERR272114,,,
ebi,ERR272115,,,
ebi,ERR272116,,,
ebi,ERR272117,,,
ebi,ERR272118,,,
ebi,ERR272119,,,
ebi,ERR272120,,,
ebi,ERR272121,,,
ebi,ERR272122,,,
ebi,ERR272123,,,
ebi,ERR272124,,,
ebi,ERR272125,,,
ebi,ERR272126,,,
ebi,ERR272127,,,
ebi,ERR272128,,,
ebi,ERR272129,,,
ebi,ERR272130,,,
ebi,ERR272131,,,
ebi,ERR272132,,,
ebi,ERR272134,,,
ebi,ERR272135,,,
ebi,ERR272136,,,
ebi,ERR272137,,,
ebi,ERR272139,,,
ebi,ERR272140,,,
ebi,ERR272141,,,
ebi,ERR272142,,,
ebi,ERR272143,,,
ebi,ERR272144,,,
ebi,ERR272145,,,
ebi,ERR272147,,,
ebi,ERR272150,,,
ebi,ERR272151,,,
ebi,ERR272160,,,
ebi,ERR272161,,,
